PAIS	CLASS	TMM5	TMI	N_M	PNB	EXP	ALF	RAD	TV	M5A	MORT	NAT	FERT	URB	INFL	NAS	MAT
Bolívia	Baixa	172	109	5.82	580	53	75	527	77	17.4	14	43	6	50	602	36	480
Brasil	Media	85	62	11.75	2020	65	78	368	191	13	8	28	3	75	166	95	120
Chile	Media	26	19	37.38	1310	72	97	335	163	11	6	24	2.7	85	21	98	47
Uruguai	Media	31	27	29	2190	71	95	594	173	9.7	10	19	2.6	85	55	97	38
Canadá	Alta	8	7	120.67	15160	77	98	953	577	7.3	7	14	1.6	76	5	99	3
EUA	Alta	13	10	77.6	18530	75	97	2119	811	7.5	9	15	1.8	74	4	99	8
México	Media	68	46	14.69	1830	69	90	241	120	13.4	6	29	3.5	72	69	94	82
C.Rica	Media	22	18	39.5	1610	75	93	258	79	13.8	4	28	3.2	52	29	93	36
Haiti	Baixa	171	116	5.81	360	55	38	41	4	14.3	13	34	4.7	29	8	40	230
Espanha	Media	12	9	83.8	6010	77	94	295	368	6.4	9	13	1.7	77	11	96	11
Grécia	Media	18	13	60.5	4020	76	92	411	175	6	10	12	1.7	62	20	97	9
Hungria	Media	19	17	63	2246	70	90	586	402	5.7	13	12	1.7	59	6	99	26
Itália	Alta	11	10	89.9	10350	76	97	786	500	5.2	10	11	1.4	68	12	100	10
Iugoslávia	Media	28	25	35.3	2480	72	91	344	175	7.6	9	15	1.9	49	57	86	22
Portugal	Media	17	14	70	2830	73	84	212	159	6.9	10	13	1.7	32	21	87	12
RU	Alta	11	9	94.46	10420	75	100	1145	434	6.5	12	13	1.8	92	6	100	9
RFA	Alta	10	8	105.8	14400	75	100	954	385	5.1	12	11	1.4	86	3	100	11
Suécia	Alta	7	6	93	15550	75	100	875	39	4.8	12	11	1.6	84	8	100	5
Suiça	Alta	8	7	75	21330	77	100	834	405	6.2	10	12	1.6	59	4	99	5
URSS	Media	32	25	31.7	4550	70	90	685	314	8.9	11	18	2.4	67	15	98	48
Egito	Baixa	125	83	8	680	61	45	310	83	15.7	10	36	4.8	48	9	47	318
Turquia	Media	93	74	10.73	1210	64	74	160	172	12.7	8	28	3.5	47	37	78	210
Argélia	Media	107	73	9.34	2680	63	50	227	70	17.2	9	40	6	44	6	15	140
Israel	Media	14	11	96.03	6800	75	95	470	264	11.4	7	21	2.9	91	159	100	5
Bangladesh	Baixa	188	118	5.3	160	51	33	40	3	16.9	15	42	5.5	13	11	5	600
Paquistão	Baixa	166	108	6	350	57	30	86	14	19.4	12	47	6.4	31	7	24	500
India	Baixa	149	98	6.7	300	58	43	77	7	13.7	11	32	4.3	27	8	33	340
Filipina	Baixa	73	44	13.7	590	64	86	135	36	15.1	8	33	4.3	41	17	57	93
China	Baixa	43	31	23.2	290	70	69	184	17	9.2	7	21	2.4	21	4	70	44
Japão	Alta	8	5	121.3	15760	78	100	863	587	5.7	7	11	1.7	77	1	100	16
Austrália	Alta	10	9	121.5	11100	76	100	1270	483	7.3	7	15	1.8	85	8	99	8
Nova Zelândia	Media	12	10	52	7750	75	98	923	369	9.1	8	16	1.9	84	12	99	6
Rep C África	Baixa	223	131	4.6	330	46	41	60	2	17.9	20	44	5.9	45	8	66	600
Nigéria	Baixa	174	104	5.7	370	51	43	163	6	20	15	50	7	34	10	46	800
Gana	Baixa	146	89	6.9	390	54	54	292	13	18	13	44	6.4	33	48	40	1000
Quenia	Baixa	113	71	8.8	330	59	60	90	6	22	12	54	8.1	22	10	28	170
