Trat	Rep	Y
1       1       2370.00
1       2       1687.00
1       3       2592.00
1       4       2283.00
1       5       2910.00
1       6       3020.00
2       1       1282.00
2       2       1527.00
2       3       871.00
2       4       1025.00
2       5       825.00
2       6       920.00
3       1       562.00
3       2       321.00
3       3       636.00
3       4       317.00
3       5       485.00
3       6       842.00
4       1       173.00
4       2       127.00
4       3       132.00
4       4       150.00
4       5       129.00
4       6       227.00
5       1       193.00
5       2       71.00
5       3       82.00
5       4       62.00
5       5       96.00
5       6       44.00
